
PUNCH_LEFT | Vel:0.024 | Z-Rel:-0.507 | Z-Move:0.024 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.033 | Z-Rel:-0.506 | Z-Move:0.033 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.025 | Z-Rel:-0.498 | Z-Move:0.018 | Y-Move:0.017 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.028 | Z-Rel:-0.542 | Z-Move:0.022 | Y-Move:0.018 | Z-Dom:False | Ext:False
PUNCH_LEFT | Vel:0.017 | Z-Rel:-0.488 | Z-Move:0.009 | Y-Move:0.014 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.016 | Z-Rel:-0.515 | Z-Move:0.008 | Y-Move:0.013 | Z-Dom:False | Ext:False
PUNCH_LEFT | Vel:0.031 | Z-Rel:-0.257 | Z-Move:0.031 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.032 | Z-Rel:-0.283 | Z-Move:0.032 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.019 | Z-Rel:-0.299 | Z-Move:0.019 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.020 | Z-Rel:-0.279 | Z-Move:0.020 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.021 | Z-Rel:-0.342 | Z-Move:0.021 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.028 | Z-Rel:-0.257 | Z-Move:0.028 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.022 | Z-Rel:-0.385 | Z-Move:0.022 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.018 | Z-Rel:-0.265 | Z-Move:0.018 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.019 | Z-Rel:-0.271 | Z-Move:0.019 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.036 | Z-Rel:-0.309 | Z-Move:0.036 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.027 | Z-Rel:-0.330 | Z-Move:0.024 | Y-Move:0.012 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.033 | Z-Rel:-0.396 | Z-Move:0.031 | Y-Move:0.004 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.139 | Z-Rel:-0.391 | Z-Move:0.088 | Y-Move:0.107 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.087 | Z-Rel:-0.360 | Z-Move:0.086 | Y-Move:0.013 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.020 | Z-Rel:-0.329 | Z-Move:0.020 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.034 | Z-Rel:-0.362 | Z-Move:0.006 | Y-Move:0.024 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.118 | Z-Rel:-0.436 | Z-Move:0.111 | Y-Move:0.039 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.033 | Z-Rel:-0.367 | Z-Move:0.031 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.062 | Z-Rel:-0.417 | Z-Move:0.061 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.015 | Z-Rel:-0.464 | Z-Move:0.013 | Y-Move:0.000 | Z-Dom:True | Ext:True
